Product ID,Product Name,Category,Price,Current Stock,Original Stock,Units Sold,Status
PROD-011,Cozy Oversized Hoodie,Apparel,"$50 / 1,700 THB",50,50,0,Healthy
PROD-011,Cozy Oversized Hoodie,Apparel,"$50 / 1,700 THB",50,50,0,Healthy
PROD-011,Cozy Oversized Hoodie,Apparel,"$50 / 1,700 THB",50,50,0,Healthy
PROD-011,Cozy Oversized Hoodie,Apparel,"$50 / 1,700 THB",50,50,0,Healthy
PROD-011 Total,nan,nan,nan,50,50,0,Low Stock
PROD-007,Racing Edition Polo Shirt,Apparel,"$45 / 1,550 THB",50,50,0,Healthy
PROD-007,Racing Edition Polo Shirt,Apparel,"$45 / 1,550 THB",50,50,0,Healthy
PROD-007,Racing Edition Polo Shirt,Apparel,"$45 / 1,550 THB",50,50,0,Healthy
PROD-007,Racing Edition Polo Shirt,Apparel,"$45 / 1,550 THB",50,50,0,Healthy
PROD-007 Total,nan,nan,nan,50,50,0,Healthy
PROD-010,Premium Minimalist Tee,Apparel,$25 / 850 THB,50,50,0,Healthy
PROD-010,Premium Minimalist Tee,Apparel,$25 / 850 THB,50,50,0,Healthy
PROD-010,Premium Minimalist Tee,Apparel,$25 / 850 THB,50,50,0,Healthy
PROD-010,Premium Minimalist Tee,Apparel,$25 / 850 THB,50,50,0,Healthy
PROD-010 Total,nan,nan,nan,50,50,0,Healthy
PROD-006,Active Dry-Fit T-Shirt,Apparel,"$30 / 1,000 THB",50,50,0,Healthy
PROD-006,Active Dry-Fit T-Shirt,Apparel,"$30 / 1,000 THB",50,50,0,Healthy
PROD-006,Active Dry-Fit T-Shirt,Apparel,"$30 / 1,000 THB",50,50,0,Healthy
PROD-006,Active Dry-Fit T-Shirt,Apparel,"$30 / 1,000 THB",50,50,0,Healthy
PROD-006 Total,nan,nan,nan,50,50,0,Healthy
PROD-005,Classic Flare Skirt,Apparel,$28 / 950 THB,50,50,0,Healthy
PROD-005,Classic Flare Skirt,Apparel,$28 / 950 THB,50,50,0,Healthy
PROD-005,Classic Flare Skirt,Apparel,$28 / 950 THB,50,50,0,Healthy
PROD-005,Classic Flare Skirt,Apparel,$28 / 950 THB,50,50,0,Healthy
PROD-005 Total,nan,nan,nan,50,50,0,Healthy
PROD-008,Classic Camp Collar Shirt,Apparel,"$40 / 1,350 THB",50,50,0,Healthy
PROD-008,Classic Camp Collar Shirt,Apparel,"$40 / 1,350 THB",50,50,0,Healthy
PROD-008,Classic Camp Collar Shirt,Apparel,"$40 / 1,350 THB",50,50,0,Healthy
PROD-008,Classic Camp Collar Shirt,Apparel,"$40 / 1,350 THB",50,50,0,Healthy
PROD-008 Total,nan,nan,nan,50,50,0,Healthy
PROD-009,Streetwear Cargo Joggers,Apparel,"$42 / 1,450 THB",50,50,0,Healthy
PROD-009,Streetwear Cargo Joggers,Apparel,"$42 / 1,450 THB",50,50,0,Healthy
PROD-009,Streetwear Cargo Joggers,Apparel,"$42 / 1,450 THB",50,50,0,Healthy
PROD-009,Streetwear Cargo Joggers,Apparel,"$42 / 1,450 THB",50,50,0,Healthy
PROD-009 Total,nan,nan,nan,50,50,0,Healthy
PROD-002,AeroFit Sports T-Shirt,Apparel,"$35 / 1,200 THB",50,50,0,Healthy
PROD-002,AeroFit Sports T-Shirt,Apparel,"$35 / 1,200 THB",50,50,0,Healthy
PROD-002,AeroFit Sports T-Shirt,Apparel,"$35 / 1,200 THB",50,50,0,Healthy
PROD-002,AeroFit Sports T-Shirt,Apparel,"$35 / 1,200 THB",50,50,0,Healthy
PROD-002 Total,nan,nan,nan,50,50,0,Healthy
Grand Total,nan,nan,nan,50,50,0,Healthy
